id,rank,discipline,yrs.since.phd,yrs.service,sex,salary
2481,AsstProf,A,6,11,Male,100171
2482,AssocProf,A,1,9,Female,133123
2483,AsstProf,B,7,11,Female,222309
2484,AsstProf,B,13,18,Male,98661
2485,Prof,A,12,10,Male,176972
2486,AssocProf,B,17,7,Female,229578
2487,AssocProf,A,16,1,Female,207206
2488,AssocProf,B,17,15,Female,110700
2489,Prof,A,7,13,Male,104081
2490,AssocProf,A,19,14,Female,232468
2491,AsstProf,B,1,13,Male,172430
2492,Prof,A,4,2,Male,159999
2493,AsstProf,A,2,15,Male,127603
2494,AssocProf,A,5,7,Female,67950
2495,Prof,B,10,11,Female,128309
2496,Prof,B,17,2,Female,105306
2497,Prof,B,14,6,Male,170883
2498,AsstProf,A,15,2,Female,182243
2499,AssocProf,A,8,8,Female,161680
2500,AsstProf,A,12,8,Male,214527
2501,AsstProf,B,19,15,Female,112392
2502,Prof,A,3,19,Male,214165
2503,Prof,B,3,10,Male,119110
2504,AssocProf,A,11,7,Male,163596
2505,AssocProf,B,19,8,Female,182260
2506,AsstProf,A,16,16,Female,200066
2507,AssocProf,A,0,6,Male,194588
2508,AssocProf,B,11,11,Male,202758
2509,Prof,B,1,19,Female,202874
2510,AssocProf,A,8,5,Male,131272
2511,AssocProf,B,11,15,Male,64352
2512,AssocProf,A,3,12,Female,232319
2513,AssocProf,A,6,7,Male,229097
2514,Prof,B,10,7,Female,80027
2515,AsstProf,A,17,11,Male,84345
2516,AssocProf,B,8,15,Male,58122
2517,AssocProf,A,9,3,Male,203393
2518,AsstProf,A,15,6,Male,161630
2519,Prof,A,15,0,Male,98232
2520,Prof,A,14,7,Male,116212
2521,Prof,A,15,1,Female,127542
2522,Prof,B,7,3,Male,128716
2523,Prof,A,18,8,Male,131949
2524,AssocProf,A,13,10,Female,69936
2525,AsstProf,B,5,3,Male,96604
2526,Prof,A,19,12,Male,100437
2527,AssocProf,A,10,13,Female,98280
2528,AsstProf,B,5,2,Female,157564
2529,AssocProf,A,11,8,Female,106436
2530,AsstProf,B,6,14,Female,186286
2531,Prof,B,11,19,Female,213674
2532,Prof,A,15,10,Male,174624
2533,Prof,B,4,10,Male,144396
2534,Prof,B,9,6,Female,138677
2535,Prof,A,11,9,Female,71207
2536,AsstProf,B,17,18,Female,150810
2537,AsstProf,B,12,14,Male,143729
2538,Prof,B,6,2,Female,58158
2539,AsstProf,B,11,16,Female,111587
2540,AssocProf,A,7,4,Male,55220
2541,AssocProf,A,16,11,Male,70522
2542,Prof,B,9,4,Male,115904
2543,AssocProf,B,0,3,Female,58452
2544,AsstProf,B,11,5,Female,214772
2545,Prof,A,18,19,Female,224111
2546,AsstProf,A,12,16,Male,65612
2547,Prof,A,9,2,Male,168183
2548,AsstProf,A,11,18,Male,58639
2549,Prof,A,10,7,Female,70376
2550,AsstProf,A,19,18,Male,110771
2551,Prof,B,15,16,Male,68038
2552,Prof,A,8,4,Male,189192
2553,AssocProf,B,10,16,Female,116447
2554,AssocProf,B,14,12,Male,133704
2555,Prof,B,2,3,Male,66245
2556,AsstProf,B,2,12,Male,113191
2557,Prof,A,1,9,Female,56308
2558,AsstProf,A,16,9,Female,90664
2559,Prof,B,5,1,Male,151543
2560,AssocProf,B,9,2,Male,147008
2561,Prof,A,4,2,Female,206954
2562,Prof,A,5,0,Male,99837
2563,Prof,B,0,19,Female,208708
2564,AssocProf,A,15,13,Male,118207
2565,AssocProf,B,10,10,Male,113820
2566,AssocProf,A,17,13,Female,152539
2567,Prof,B,6,0,Male,96557
2568,AssocProf,B,3,4,Female,223257
2569,Prof,A,17,18,Female,144957
2570,AssocProf,A,6,0,Female,60921
2571,Prof,B,14,7,Female,189792
2572,Prof,A,16,8,Female,236832
2573,Prof,A,5,4,Male,194769
2574,AsstProf,B,4,3,Male,150180
2575,Prof,A,13,5,Male,64690
2576,AsstProf,B,8,2,Male,132386
2577,Prof,A,8,0,Female,187824
2578,AsstProf,A,13,3,Female,224538
2579,AssocProf,A,1,12,Female,52402
2580,Prof,B,1,16,Male,169897
2581,Prof,B,13,4,Male,229880
2582,Prof,A,5,1,Male,112553
2583,Prof,A,2,5,Male,90134
2584,Prof,B,12,16,Male,184028
2585,AssocProf,B,11,4,Male,227361
2586,AssocProf,B,17,14,Male,76282
2587,Prof,B,12,16,Male,124901
2588,AsstProf,B,9,3,Male,132634
2589,Prof,B,17,0,Male,54963
2590,AssocProf,B,6,0,Female,131135
2591,AssocProf,A,18,9,Male,149181
2592,AsstProf,B,7,8,Male,153613
2593,Prof,B,6,4,Male,138573
2594,AssocProf,A,10,0,Male,129167
2595,AsstProf,B,1,16,Male,184433
2596,AssocProf,B,17,6,Male,208386
2597,Prof,A,0,16,Male,188153
2598,AsstProf,A,4,3,Male,120980
2599,AsstProf,B,16,9,Male,140842
2600,Prof,A,9,16,Male,85688
2601,Prof,B,10,9,Male,140905
2602,AssocProf,A,8,3,Female,108620
2603,Prof,B,0,5,Female,173908
2604,AssocProf,B,17,17,Male,179335
2605,AsstProf,A,0,17,Male,100116
2606,Prof,A,3,17,Male,154671
2607,AsstProf,B,10,5,Male,217006
2608,AssocProf,B,8,18,Female,53302
2609,AssocProf,A,13,0,Female,61189
2610,AsstProf,B,17,16,Female,84722
2611,AssocProf,B,1,2,Male,226208
2612,Prof,B,12,6,Male,221493
2613,AssocProf,B,16,18,Male,127970
2614,AssocProf,B,4,6,Male,81345
2615,Prof,A,10,7,Male,172175
2616,Prof,B,13,6,Male,232776
2617,AssocProf,B,10,0,Female,66866
2618,AssocProf,A,3,19,Female,108837
2619,Prof,A,3,0,Female,59302
2620,AsstProf,A,18,7,Male,66708
2621,Prof,A,9,1,Male,158841
2622,AsstProf,A,19,3,Female,223831
2623,AssocProf,B,14,16,Female,144948
2624,AsstProf,B,6,6,Female,176512
2625,Prof,B,14,12,Male,234084
2626,AsstProf,A,12,16,Female,142445
2627,AssocProf,A,4,13,Male,61952
2628,Prof,B,15,7,Female,206633
2629,AsstProf,B,0,17,Male,62826
2630,Prof,A,2,15,Male,150717
2631,AssocProf,A,6,5,Male,77071
2632,Prof,A,19,9,Female,238463
2633,AssocProf,B,6,13,Male,135412
2634,AsstProf,B,9,10,Female,95316
2635,AsstProf,B,2,5,Female,170975
2636,AssocProf,A,18,1,Female,230458
2637,AssocProf,A,13,7,Male,210234
2638,AssocProf,A,12,1,Female,52814
2639,Prof,A,15,6,Female,63282
2640,Prof,B,15,16,Male,95047
2641,AsstProf,B,16,4,Female,104825
2642,Prof,A,2,5,Female,209292
2643,Prof,A,5,1,Female,112200
2644,Prof,B,7,16,Female,166117
2645,Prof,A,16,4,Male,78264
2646,Prof,B,12,3,Male,134695
2647,AsstProf,A,1,3,Female,158728
2648,Prof,A,8,1,Female,142036
2649,AsstProf,A,4,14,Female,135498
2650,AsstProf,A,5,17,Female,56263
2651,Prof,B,3,1,Male,230655
2652,AssocProf,B,16,16,Female,216441
2653,AsstProf,B,0,9,Male,91130
2654,Prof,A,1,3,Female,137081
2655,Prof,A,19,14,Male,141565
2656,AssocProf,A,13,8,Female,113621
2657,AsstProf,B,9,10,Female,124451
2658,AsstProf,B,14,1,Male,180896
2659,AsstProf,A,13,9,Female,138025
2660,AssocProf,A,9,3,Male,110313
2661,Prof,B,6,19,Female,131922
2662,AsstProf,B,0,5,Female,105962
2663,AsstProf,A,12,4,Male,151337
2664,AssocProf,A,7,16,Male,168389
2665,Prof,B,18,11,Female,60509
2666,AssocProf,A,14,4,Female,131604
2667,AsstProf,B,12,3,Male,74363
2668,AssocProf,A,8,1,Female,127548
2669,Prof,B,3,12,Female,159924
2670,AsstProf,B,16,15,Male,151237
2671,AsstProf,B,12,8,Female,57908
2672,AsstProf,A,9,17,Male,175840
2673,AsstProf,B,10,18,Female,109601
2674,Prof,B,8,11,Female,160804
2675,AssocProf,B,7,2,Female,59541
2676,Prof,B,9,10,Female,156119
2677,Prof,A,1,12,Male,141317
2678,AssocProf,B,8,16,Male,192362
2679,AssocProf,A,9,19,Female,191097
2680,AssocProf,A,5,7,Male,225296
2681,AsstProf,B,14,10,Male,172527
2682,AsstProf,A,4,12,Female,164756
2683,AssocProf,B,4,11,Female,152003
2684,Prof,A,16,5,Female,238867
2685,AssocProf,B,4,1,Female,162714
2686,Prof,B,17,16,Male,218258
2687,AssocProf,B,3,4,Female,96352
2688,AsstProf,A,2,11,Male,169718
2689,AsstProf,B,18,7,Male,219404
2690,AsstProf,A,5,1,Female,174431
2691,AssocProf,B,17,10,Female,171480
2692,AsstProf,B,5,9,Male,78578
2693,AsstProf,A,3,17,Female,207871
2694,Prof,A,8,2,Male,51319
2695,AsstProf,A,17,15,Female,121817
2696,AssocProf,B,15,5,Male,177160
2697,AsstProf,B,13,17,Female,222775
2698,Prof,B,4,5,Female,115896
2699,Prof,B,9,11,Male,50910
2700,AssocProf,B,19,9,Male,143487
2701,AssocProf,B,3,6,Female,130321
2702,AsstProf,B,6,5,Male,188300
2703,AsstProf,B,0,15,Female,171642
2704,AsstProf,A,7,11,Female,210783
2705,AsstProf,B,11,15,Male,199577
2706,Prof,B,16,4,Female,194052
2707,AssocProf,A,15,3,Female,189983
2708,Prof,B,16,7,Male,100422
2709,AssocProf,A,12,17,Female,75126
2710,AsstProf,B,0,13,Female,129647
2711,Prof,A,4,19,Female,104095
2712,AssocProf,B,0,9,Female,238510
2713,Prof,B,18,9,Male,109788
2714,AssocProf,B,11,10,Male,172540
2715,Prof,A,6,5,Female,130325
2716,AsstProf,A,17,14,Female,190496
2717,AsstProf,A,18,3,Male,227455
2718,AssocProf,B,3,15,Male,222234
2719,AsstProf,A,13,18,Female,207495
2720,AssocProf,B,14,9,Female,71622
2721,Prof,B,17,0,Female,237154
2722,AssocProf,A,11,7,Male,229579
2723,AsstProf,B,4,5,Female,176389
2724,Prof,B,17,13,Female,64896
2725,Prof,A,8,15,Male,56349
2726,Prof,A,18,9,Male,143549
2727,Prof,B,5,2,Female,147179
2728,Prof,B,2,7,Male,207213
2729,AssocProf,A,9,16,Male,176767
2730,AsstProf,B,11,11,Female,101358
2731,AssocProf,A,2,2,Male,199440
2732,AssocProf,B,19,14,Female,218885
2733,AssocProf,B,16,17,Female,170143
2734,AssocProf,A,10,16,Male,63430
2735,AsstProf,B,16,11,Male,101352
2736,AssocProf,A,11,3,Female,159851
2737,AsstProf,A,10,7,Female,50806
2738,AsstProf,A,4,4,Male,216221
2739,AssocProf,B,3,19,Male,212410
2740,AssocProf,B,0,13,Female,201883
2741,AsstProf,B,1,8,Male,62464
2742,AssocProf,B,15,2,Female,184669
2743,AssocProf,A,10,4,Female,115225
2744,AsstProf,A,15,18,Male,120421
2745,AssocProf,B,0,1,Female,88108
2746,AsstProf,B,10,19,Female,227187
2747,AsstProf,B,4,12,Female,233382
2748,Prof,A,2,14,Male,205587
2749,AsstProf,B,19,6,Female,106557
2750,AssocProf,B,16,12,Female,64509
2751,AssocProf,B,10,12,Male,146575
2752,AsstProf,B,4,4,Female,67134
2753,AssocProf,B,18,0,Female,214662
2754,AssocProf,A,16,15,Female,99634
2755,Prof,A,1,3,Female,200481
2756,Prof,A,11,19,Male,50628
2757,AsstProf,A,6,4,Female,229771
2758,AssocProf,B,7,14,Female,124600
2759,Prof,B,4,8,Male,133506
2760,AsstProf,A,18,2,Female,222201
2761,Prof,A,16,13,Male,58896
2762,AsstProf,B,9,9,Female,146539
2763,Prof,A,3,3,Female,158550
2764,AssocProf,A,15,12,Female,138899
2765,AssocProf,A,9,1,Female,182365
2766,AssocProf,B,9,19,Female,211044
2767,AssocProf,A,14,7,Male,226575
2768,AssocProf,B,1,1,Female,233935
2769,AssocProf,A,12,14,Female,193079
2770,AssocProf,B,9,12,Male,140291
2771,Prof,A,4,16,Male,189443
2772,AssocProf,A,17,10,Male,151708
2773,AsstProf,A,5,5,Female,137352
2774,AssocProf,A,2,1,Male,228910
2775,AsstProf,B,14,10,Male,111302
2776,AssocProf,A,15,4,Male,73497
2777,Prof,A,7,14,Female,152011
2778,AssocProf,A,17,7,Male,195089
2779,Prof,A,8,5,Male,216031
2780,AssocProf,B,1,17,Male,178503
2781,AsstProf,A,14,1,Female,52019
2782,AssocProf,A,15,7,Male,217574
2783,Prof,B,18,6,Female,132803
2784,AsstProf,B,9,5,Male,189729
2785,AsstProf,A,4,1,Female,58355
2786,AssocProf,A,15,13,Male,205198
2787,Prof,A,5,9,Female,151352
2788,Prof,A,3,1,Male,135737
2789,AssocProf,B,19,6,Male,63735
2790,AsstProf,B,16,7,Male,92726
2791,AsstProf,A,2,9,Male,237327
2792,Prof,A,2,4,Female,131824
2793,AsstProf,A,13,19,Male,153982
2794,AssocProf,B,5,3,Male,147310
2795,AsstProf,A,10,10,Female,109443
2796,AssocProf,B,11,12,Female,108889
2797,AssocProf,B,3,5,Female,234324
2798,AssocProf,B,13,13,Male,58178
2799,Prof,A,5,16,Male,146830
2800,AsstProf,B,18,9,Male,140806
2801,AssocProf,B,0,15,Male,89603
2802,AssocProf,B,16,9,Female,231142
2803,Prof,B,7,12,Female,66204
2804,Prof,B,16,19,Female,222738
2805,Prof,A,11,11,Male,150826
2806,AsstProf,B,9,8,Male,130331
2807,AssocProf,A,7,13,Male,157493
2808,Prof,B,2,13,Female,124313
2809,AsstProf,B,6,2,Male,105001
2810,Prof,A,13,14,Male,100395
2811,AsstProf,A,7,9,Male,61300
2812,Prof,B,7,2,Male,182450
2813,Prof,B,11,19,Male,63423
2814,AsstProf,A,8,3,Female,162934
2815,Prof,B,9,10,Male,74642
2816,AssocProf,A,16,5,Male,82603
2817,Prof,A,17,14,Female,204662
2818,AssocProf,A,5,18,Male,118038
2819,Prof,B,14,12,Male,122946
2820,AsstProf,A,0,14,Male,206522
2821,AssocProf,B,0,19,Male,191506
2822,Prof,A,4,10,Male,86155
2823,AsstProf,B,16,13,Male,220158
2824,Prof,B,2,19,Male,231199
2825,AsstProf,B,10,12,Female,91764
2826,AssocProf,B,16,10,Male,122191
2827,AssocProf,A,13,11,Male,108628
2828,Prof,A,10,15,Male,238537
2829,AssocProf,B,9,19,Male,161929
2830,AsstProf,A,14,9,Male,164284
2831,AsstProf,B,18,6,Male,154073
2832,AsstProf,B,10,1,Male,181369
2833,AssocProf,A,11,1,Female,131118
2834,AsstProf,A,8,6,Female,101739
2835,AssocProf,B,5,2,Male,174697
2836,AssocProf,A,18,13,Male,147165
2837,AssocProf,A,18,3,Female,215546
2838,Prof,B,8,9,Female,72320
2839,AsstProf,B,2,2,Female,180661
2840,Prof,A,17,18,Male,189899
2841,Prof,B,2,5,Male,220017
2842,AssocProf,A,8,0,Female,213344
2843,AsstProf,B,4,13,Male,57307
2844,AsstProf,A,0,11,Male,141210
2845,AsstProf,B,5,3,Female,160216
2846,AssocProf,B,0,10,Male,56848
2847,AssocProf,B,4,7,Female,176579
2848,Prof,A,5,11,Female,191143
2849,AsstProf,B,4,2,Male,76335
2850,Prof,A,12,1,Female,217620
2851,AsstProf,B,13,6,Female,78370
2852,AssocProf,A,18,18,Male,51535
2853,AsstProf,A,16,19,Female,207311
2854,Prof,A,10,11,Female,69085
2855,Prof,A,9,8,Female,167393
2856,AsstProf,A,1,6,Female,233561
2857,AssocProf,B,7,14,Female,201062
2858,AssocProf,B,18,17,Female,65036
2859,AsstProf,B,2,7,Male,80134
2860,AssocProf,A,4,18,Female,82594
2861,AsstProf,B,6,4,Male,207898
2862,AssocProf,A,8,15,Male,99389
2863,Prof,A,0,13,Female,67728
2864,AsstProf,B,9,4,Male,189665
2865,AssocProf,B,9,0,Male,225344
2866,AsstProf,A,3,14,Male,235743
2867,AssocProf,B,11,0,Male,129476
2868,AsstProf,A,10,18,Male,126031
2869,Prof,A,0,3,Female,227462
2870,AsstProf,A,4,14,Female,176105
2871,Prof,A,6,11,Female,210275
2872,AssocProf,A,15,16,Male,83270
2873,Prof,A,18,19,Female,211319
2874,Prof,A,3,5,Male,224707
2875,AsstProf,B,19,18,Male,57785
2876,AssocProf,A,14,6,Female,96444
2877,AsstProf,B,15,3,Female,143437
2878,AsstProf,B,11,11,Female,158236
2879,Prof,B,0,7,Male,126575
2880,AsstProf,B,18,19,Male,174994
2881,AssocProf,A,17,17,Male,160055
2882,AsstProf,A,4,19,Female,236843
2883,Prof,B,12,17,Female,233955
2884,AsstProf,B,16,15,Female,220959
2885,Prof,B,14,7,Male,226582
2886,AsstProf,A,17,5,Female,208911
2887,AsstProf,A,10,13,Male,233118
2888,AsstProf,B,10,18,Male,104707
2889,Prof,B,14,7,Male,208374
2890,Prof,B,16,9,Male,201865
2891,AssocProf,B,17,2,Male,157257
2892,AssocProf,B,17,13,Female,111314
2893,Prof,A,7,4,Female,82204
2894,AsstProf,A,17,3,Female,59334
2895,AsstProf,B,3,19,Female,152237
2896,Prof,B,13,19,Male,153577
2897,AssocProf,B,0,11,Female,94900
2898,AssocProf,A,6,19,Male,133800
2899,AssocProf,B,8,6,Male,169140
2900,AsstProf,A,18,7,Female,144288
2901,Prof,B,19,11,Male,225135
2902,AssocProf,A,15,8,Male,53500
2903,AssocProf,A,8,0,Female,223549
2904,AssocProf,A,9,0,Female,99544
2905,AssocProf,B,2,12,Male,70932
2906,AsstProf,B,11,0,Male,165243
2907,AssocProf,B,4,2,Female,190652
2908,AssocProf,A,2,15,Male,54323
2909,Prof,B,17,4,Female,147848
2910,AsstProf,A,10,5,Male,187688
2911,AssocProf,A,8,4,Male,94870
2912,AssocProf,B,17,19,Male,221855
2913,Prof,A,10,16,Male,76264
2914,AsstProf,B,0,8,Male,114622
2915,AsstProf,B,19,5,Male,224062
2916,AssocProf,B,16,0,Male,119304
2917,AssocProf,B,18,8,Male,193920
2918,AssocProf,B,2,15,Female,142240
2919,AsstProf,A,12,0,Male,133305
2920,AssocProf,B,8,17,Female,120551
2921,AsstProf,A,17,5,Female,76197
2922,Prof,A,3,19,Female,66335
2923,AsstProf,B,15,16,Male,147289
2924,Prof,B,5,16,Female,153987
2925,Prof,B,19,11,Male,114325
2926,AssocProf,A,13,10,Male,145650
2927,Prof,A,11,17,Male,67039
2928,AssocProf,A,5,16,Male,149165
2929,Prof,B,12,2,Female,108235
2930,Prof,A,10,14,Female,62709
2931,AsstProf,B,17,19,Female,103858
2932,AssocProf,B,7,1,Female,110507
2933,Prof,B,13,6,Female,123580
2934,AsstProf,A,15,0,Male,225022
2935,Prof,B,9,13,Female,235649
2936,AsstProf,A,15,12,Female,105292
2937,AsstProf,B,18,1,Male,232514
2938,AsstProf,A,16,8,Male,115416
2939,AsstProf,A,1,6,Male,186060
2940,AssocProf,B,14,17,Female,70377
2941,AssocProf,B,4,13,Female,141304
2942,Prof,A,18,4,Male,64167
2943,AssocProf,B,2,6,Male,116949
2944,AssocProf,B,5,2,Female,184371
2945,AssocProf,B,19,2,Female,173180
2946,Prof,B,0,2,Female,228765
2947,Prof,A,13,15,Female,116730
2948,Prof,A,18,6,Male,175201
2949,AssocProf,A,13,6,Male,63922
2950,AsstProf,B,6,7,Male,125990
2951,Prof,B,4,17,Female,180451
2952,AssocProf,A,7,11,Male,175836
2953,AssocProf,B,14,6,Male,122560
2954,AsstProf,A,0,19,Male,152199
2955,Prof,B,6,3,Female,196826
2956,Prof,A,11,6,Female,159546
2957,AssocProf,A,1,13,Female,92116
2958,AssocProf,A,0,2,Female,162194
2959,Prof,A,16,3,Female,224918
2960,Prof,A,4,19,Female,188312
2961,Prof,A,1,3,Male,101607
2962,AssocProf,A,5,5,Male,171289
2963,AssocProf,B,5,5,Female,82798
2964,AsstProf,A,6,9,Female,115201
2965,AsstProf,B,0,16,Female,120170
2966,Prof,A,9,8,Male,86767
2967,AssocProf,A,17,2,Female,69815
2968,AssocProf,A,11,14,Male,180890
2969,AsstProf,B,12,17,Male,161204
2970,Prof,A,16,11,Male,163614
2971,AsstProf,A,19,13,Male,95434
2972,AssocProf,A,19,5,Male,81685
2973,Prof,A,11,12,Male,142373
2974,AsstProf,A,13,13,Male,190998
2975,AssocProf,B,10,5,Male,119562
2976,Prof,B,19,6,Male,166285
2977,Prof,A,18,6,Male,114186
2978,Prof,B,12,19,Female,132285
2979,Prof,B,7,2,Female,211511
2980,AssocProf,A,16,4,Male,122744
2981,Prof,A,7,18,Male,127077
2982,AssocProf,A,6,1,Male,185278
2983,Prof,B,0,5,Female,138982
2984,AsstProf,A,0,11,Female,61276
2985,AssocProf,A,15,15,Male,119136
2986,AssocProf,A,15,2,Female,217519
2987,Prof,A,5,9,Female,207023
2988,AssocProf,A,16,11,Male,207940
2989,AsstProf,A,10,1,Female,104067
2990,AssocProf,B,13,14,Female,104076
2991,AssocProf,A,9,14,Female,215776
2992,AssocProf,B,11,0,Male,115249
2993,AsstProf,A,18,4,Female,96447
2994,AssocProf,B,3,11,Female,101059
2995,AssocProf,A,1,18,Male,177052
2996,AsstProf,B,18,4,Female,55685
2997,Prof,B,1,14,Female,117800
2998,AsstProf,B,18,5,Male,65234
2999,AsstProf,A,12,11,Female,161681
3000,Prof,A,10,11,Female,124840
3001,AsstProf,A,0,15,Female,127970
3002,AssocProf,A,14,14,Female,90330
3003,AsstProf,B,5,10,Male,229537
3004,AssocProf,A,13,12,Male,157882
3005,AssocProf,A,18,0,Male,84116
3006,AssocProf,A,18,0,Female,171506
3007,AsstProf,B,14,14,Male,55675
3008,Prof,B,15,13,Female,73338
3009,AsstProf,A,10,2,Female,164943
3010,Prof,A,6,11,Female,212863
3011,Prof,A,3,10,Male,163195
3012,Prof,A,11,10,Female,237743
3013,AssocProf,A,1,12,Male,181476
3014,AssocProf,A,0,12,Male,114708
3015,Prof,B,4,13,Female,127724
3016,Prof,A,2,5,Female,186676
3017,Prof,A,11,0,Male,107203
3018,AssocProf,A,16,9,Female,178068
3019,Prof,A,5,11,Male,163417
3020,Prof,A,9,4,Female,106686
3021,AsstProf,B,3,9,Female,109818
3022,AssocProf,B,16,8,Female,61790
3023,Prof,B,14,5,Male,104973
3024,AssocProf,A,13,14,Male,228017
3025,AsstProf,A,6,17,Male,208114
3026,AsstProf,B,12,3,Male,70908
3027,Prof,B,12,5,Male,230997
3028,AssocProf,B,10,18,Female,202438
3029,Prof,A,5,18,Male,94779
3030,Prof,A,19,4,Female,169492
3031,AsstProf,B,18,19,Female,97589
3032,AssocProf,B,18,0,Male,123289
3033,AsstProf,B,19,15,Female,158558
3034,AssocProf,A,8,2,Male,78705
3035,Prof,B,13,12,Female,124071
3036,AssocProf,B,0,0,Male,160235
3037,AsstProf,A,6,15,Male,70165
3038,AsstProf,B,7,7,Male,57253
3039,Prof,A,1,14,Male,57211
3040,Prof,B,7,3,Male,161789
3041,AsstProf,A,4,14,Female,89196
3042,AssocProf,B,3,4,Female,171255
3043,AsstProf,B,15,11,Male,142446
3044,Prof,B,18,19,Female,123798
3045,AsstProf,B,18,2,Male,214344
3046,Prof,A,13,4,Male,91848
3047,AssocProf,A,7,6,Male,211509
3048,AssocProf,B,5,4,Male,189649
3049,Prof,B,5,4,Female,119764
3050,Prof,A,10,15,Female,96510
3051,Prof,A,5,5,Male,211808
3052,Prof,B,1,7,Female,211015
3053,Prof,B,3,16,Male,103815
3054,AsstProf,B,11,9,Female,102078
3055,Prof,A,18,0,Female,100392
3056,Prof,A,12,7,Female,57605
3057,AssocProf,A,10,16,Female,87434
3058,AssocProf,B,8,10,Female,93243
3059,AssocProf,B,18,11,Male,181826
3060,AsstProf,A,5,0,Male,125443
3061,AsstProf,B,15,19,Female,160761
3062,Prof,A,13,13,Male,173673
3063,AssocProf,B,8,19,Female,117148
3064,Prof,A,15,12,Male,213333
3065,AssocProf,A,6,2,Male,204225
3066,AsstProf,B,15,6,Male,133215
3067,Prof,A,16,11,Female,168391
3068,Prof,B,1,9,Male,184796
3069,AssocProf,B,13,1,Female,125493
3070,Prof,A,0,10,Female,199393
3071,Prof,A,7,3,Female,100529
3072,AsstProf,B,8,0,Female,124820
3073,AsstProf,A,1,16,Female,235564
3074,AssocProf,B,12,5,Female,216793
3075,Prof,B,10,16,Female,203369
3076,Prof,B,0,13,Male,82153
3077,Prof,A,19,15,Male,225770
3078,AsstProf,B,14,7,Male,200315
3079,AssocProf,B,17,1,Male,187245
3080,Prof,B,1,1,Female,227870
3081,AsstProf,B,7,10,Male,202620
3082,AsstProf,B,6,15,Female,176797
3083,AssocProf,B,4,18,Male,53827
3084,Prof,A,4,2,Female,67699
3085,AsstProf,A,10,2,Female,211654
3086,AsstProf,B,5,4,Female,113322
3087,AsstProf,A,3,3,Male,174123
3088,AsstProf,B,9,15,Female,176179
3089,AsstProf,B,4,9,Female,217673
3090,AsstProf,A,13,16,Male,231301
3091,AsstProf,B,15,18,Female,149886
3092,AsstProf,B,0,6,Male,132398
3093,AsstProf,A,18,9,Male,95421
3094,AsstProf,B,16,9,Female,50380
3095,AssocProf,A,10,4,Female,61349
3096,AssocProf,B,2,0,Female,138957
3097,AsstProf,B,19,8,Male,111414
3098,Prof,A,5,5,Male,185784
3099,AssocProf,B,12,11,Male,107257
3100,Prof,A,7,16,Male,170283
3101,AsstProf,A,0,11,Female,50507
3102,AssocProf,A,0,5,Male,143853
3103,AssocProf,A,16,17,Female,138827
3104,Prof,B,7,1,Male,235525
3105,Prof,A,11,5,Male,176540
3106,AsstProf,B,3,13,Male,59363
3107,AsstProf,A,6,5,Female,91768
3108,AsstProf,A,16,8,Male,196718
3109,Prof,A,7,12,Male,195342
3110,AssocProf,A,4,9,Female,90753
3111,Prof,A,7,16,Male,215664
3112,AssocProf,B,5,4,Male,94233
3113,Prof,B,5,6,Female,206431
3114,AsstProf,B,16,14,Female,108926
3115,AssocProf,B,13,18,Male,113782
3116,AssocProf,B,5,1,Female,183039
3117,Prof,B,4,7,Male,165006
3118,Prof,B,1,15,Male,147343
3119,AssocProf,A,5,9,Female,216604
3120,Prof,A,1,10,Female,157638
3121,AsstProf,A,8,13,Male,111972
3122,AsstProf,A,14,18,Female,208556
3123,Prof,B,12,15,Female,160046
3124,Prof,A,9,6,Female,197833
3125,AssocProf,A,8,15,Male,170087
3126,AsstProf,A,8,14,Female,127692
3127,AssocProf,A,14,11,Female,188883
3128,AssocProf,A,6,5,Male,234319
3129,AssocProf,B,17,12,Female,168556
3130,Prof,B,7,0,Female,71288
3131,Prof,B,9,12,Female,64189
3132,AsstProf,A,11,15,Female,114914
3133,AssocProf,B,8,10,Female,188740
3134,AsstProf,A,8,8,Male,50412
3135,Prof,B,9,18,Female,138197
3136,Prof,A,9,7,Male,200073
3137,AsstProf,A,3,2,Female,143329
3138,AsstProf,A,8,11,Male,112680
3139,AssocProf,A,1,11,Male,146258
3140,AssocProf,B,15,4,Female,118246
3141,Prof,A,11,3,Female,115112
3142,AssocProf,A,13,2,Male,139166
3143,Prof,B,8,0,Female,236843
3144,AssocProf,A,1,15,Male,160631
3145,Prof,A,5,17,Female,208148
3146,AssocProf,B,14,17,Female,232140
3147,AsstProf,A,1,18,Male,79597
3148,Prof,A,14,15,Female,237234
3149,Prof,A,18,14,Female,108882
3150,AsstProf,B,8,4,Female,96085
3151,Prof,A,17,8,Female,126847
3152,AssocProf,B,9,14,Male,172590
3153,Prof,B,18,13,Male,145280
3154,AssocProf,B,13,6,Male,180957
3155,Prof,B,18,5,Male,110789
3156,AssocProf,A,16,14,Male,211947
3157,AsstProf,B,4,7,Female,132395
3158,Prof,A,16,19,Female,202995
3159,Prof,B,5,15,Female,190540
3160,AssocProf,B,19,0,Female,220780
3161,AssocProf,A,16,17,Male,132572
3162,AssocProf,A,9,8,Male,90573
3163,Prof,A,15,11,Female,212366
3164,Prof,A,10,1,Male,149686
3165,AsstProf,B,2,11,Male,202721
3166,Prof,A,8,16,Male,129046
3167,AsstProf,A,0,8,Male,216955
3168,AssocProf,A,14,6,Male,137215
